review_id,product_id,date_id,sentiment_id,review_type_id,cluster_id,rating,review_length
2582050514,MLM1066705967,20260107,1,1,1,5.0,10
2562726539,MLM1066705967,20251208,1,1,2,5.0,9
2553013651,MLM1066705967,20251208,1,2,2,5.0,73
2554076446,MLM1066705967,20251208,1,1,2,5.0,14
2537055113,MLM1066705967,20251208,1,1,1,5.0,18
2532751058,MLM1066705967,20251208,1,1,3,5.0,32
2520706101,MLM1066705967,20251208,1,1,1,5.0,27
2523696942,MLM1066705967,20251208,1,1,3,5.0,20
2512042601,MLM1066705967,20251208,1,2,1,5.0,68
2518466980,MLM1066705967,20251208,1,1,3,5.0,31
2500492603,MLM1066705967,20251208,1,1,1,5.0,45
2488901451,MLM1066705967,20251208,1,1,3,5.0,26
2494632778,MLM1066705967,20251208,1,1,2,5.0,13
2479751435,MLM1066705967,20251208,1,2,3,5.0,53
2486218312,MLM1066705967,20251208,1,1,2,5.0,19
2476580884,MLM1066705967,20251108,1,1,2,5.0,11
2457507789,MLM1066705967,20251108,1,1,2,5.0,17
2421876532,MLM1066705967,20251108,1,1,1,5.0,40
2401078780,MLM1066705967,20251108,1,2,2,5.0,109
2290870691,MLM1066705967,20260805,1,3,0,5.0,461
2177981355,MLM1066705967,20250805,1,3,2,5.0,561
2175481342,MLM1066705967,20250805,1,3,2,5.0,221
1862163542,MLM1066705967,20250805,1,1,2,5.0,11
2806709205,MLM1066705967,20260407,3,2,2,1.0,94
2876337066,MLM1066705967,20260507,3,2,2,1.0,55
2599838427,MLM1066705967,20260107,3,2,2,1.0,54
3043279197,MLM1066705967,20260805,2,1,2,3.0,0
3046544008,MLM1066705967,20260731,2,1,2,2.0,0
2979323549,MLM1066705967,20260706,3,3,2,1.0,228
2913903680,MLM1066705967,20260606,3,2,2,1.0,105
302014487,MLM42305910,20260805,1,3,2,5.0,222
310548533,MLM42305910,20260805,1,3,2,5.0,459
825354344,MLM42305910,20260805,1,3,2,5.0,231
1304843731,MLM42305910,20260805,1,2,2,5.0,64
154614460,MLM42305910,20260805,1,3,0,5.0,231
320227990,MLM42305910,20260805,1,1,2,5.0,25
410020902,MLM42305910,20260805,1,3,0,5.0,888
2940334444,MLM42305910,20260606,1,3,2,5.0,294
341457712,MLM42305910,20260805,1,2,2,5.0,179
315903892,MLM42305910,20260805,1,2,2,5.0,139
934243000,MLM42305910,20260805,1,2,2,5.0,110
851602985,MLM42305910,20260805,1,2,1,5.0,82
314317014,MLM42305910,20260805,1,2,2,5.0,83
325407832,MLM42305910,20260805,1,3,2,5.0,350
613866302,MLM42305910,20260805,1,2,0,5.0,71
922504792,MLM42305910,20260805,2,1,2,5.0,0
874269288,MLM42305910,20260805,1,2,2,5.0,178
635136399,MLM42305910,20260805,1,3,0,5.0,1492
300399054,MLM42305910,20260805,1,2,3,5.0,71
880744790,MLM42305910,20260805,1,2,2,5.0,77
2490442103,MLM42305910,20251208,2,1,2,5.0,0
868799425,MLM42305910,20260805,1,2,1,5.0,109
387862309,MLM42305910,20260805,1,2,0,5.0,197
1008022469,MLM42305910,20260805,1,1,2,5.0,38
1304285882,MLM42305910,20260805,1,2,2,4.0,73
982548131,MLM42305910,20260805,1,3,0,5.0,240
387485368,MLM42305910,20260805,1,3,2,5.0,526
2206840936,MLM42305910,20250805,1,3,2,5.0,1493
812643338,MLM42305910,20260805,1,2,2,5.0,132
658631934,MLM42305910,20260805,1,3,0,5.0,362
315992989,MLM42305910,20260805,1,2,2,5.0,172
311370619,MLM42305910,20260805,1,2,2,5.0,83
151292273,MLM42305910,20260805,1,1,2,5.0,34
3021877705,MLM42305910,20260805,1,3,0,5.0,597
811949533,MLM42305910,20260805,2,1,2,5.0,0
2860001575,MLM42305910,20260507,1,3,0,5.0,309
2303539562,MLM42305910,20260805,1,3,2,5.0,215
868024214,MLM42305910,20260805,1,3,0,5.0,258
1387053072,MLM42305910,20260805,1,3,2,5.0,370
1127550531,MLM42305910,20260805,1,2,2,5.0,144
989468898,MLM42305910,20260805,1,2,0,5.0,144
976349166,MLM42305910,20260805,1,2,0,5.0,176
968994817,MLM42305910,20260805,1,2,2,5.0,115
898348021,MLM42305910,20260805,1,1,2,5.0,36
619374605,MLM42305910,20260805,1,2,2,5.0,67
318918259,MLM42305910,20260805,1,1,2,5.0,22
2897753533,MLM42305910,20260606,1,2,1,5.0,133
1722295219,MLM42305910,20250805,1,2,2,5.0,165
2993718889,MLM42305910,20260805,1,2,3,5.0,156
3002724348,MLM42305910,20260805,1,3,0,5.0,227
2920109707,MLM42305910,20260606,1,2,0,5.0,179
2642606340,MLM42305910,20260107,1,3,0,5.0,347
504099661,MLM42305910,20260805,1,1,2,5.0,10
2735876401,MLM42305910,20260308,1,2,2,5.0,124
817938283,MLM42305910,20260805,1,1,0,5.0,48
2367570078,MLM42305910,20260805,1,3,2,5.0,404
2219370160,MLM42305910,20250805,1,2,2,4.0,89
2080677298,MLM42305910,20250805,1,3,0,5.0,320
2001820698,MLM42305910,20250805,1,2,2,5.0,74
1642968643,MLM42305910,20250805,1,2,2,5.0,69
1525476123,MLM42305910,20250805,1,2,2,5.0,60
1141621938,MLM42305910,20260805,1,2,2,5.0,112
1121491170,MLM42305910,20260805,1,2,2,5.0,186
1118231919,MLM42305910,20260805,1,2,3,5.0,81
1117858467,MLM42305910,20260805,1,3,2,5.0,239
1105667627,MLM42305910,20260805,1,2,2,5.0,74
1088267382,MLM42305910,20260805,1,2,2,5.0,51
1042413925,MLM42305910,20260805,1,2,0,5.0,151
1032038221,MLM42305910,20260805,1,1,2,5.0,6
1021247902,MLM42305910,20260805,1,2,2,5.0,116
1010468853,MLM42305910,20260805,1,3,0,5.0,282
999390821,MLM42305910,20260805,1,1,3,5.0,41
993315917,MLM42305910,20260805,1,1,2,5.0,14
985875645,MLM42305910,20260805,1,1,2,5.0,42
982957515,MLM42305910,20260805,1,3,0,5.0,206
984860650,MLM42305910,20260805,1,2,2,5.0,95
970274345,MLM42305910,20260805,1,1,2,5.0,35
968327196,MLM42305910,20260805,1,1,2,5.0,29
964861949,MLM42305910,20260805,1,2,0,5.0,185
